,Address,Location,Date of sale,Boarea (m²),Total Area (m²),Rooms,Plot Area (m²),Closing price (kr)
479,Vegestorp 210,"Kareby,          Kungälvs kommun",14 maj 2021,98.0,196.0,5.0,1 610 ,4125000.0
480,Olvonvägen 27,"Diseröd,          Kungälvs kommun",12 maj 2021,123.0,220.0,6.0,682 ,5150000.0
481,Storskiftegatan 55,"Ytterby,          Kungälvs kommun",11 maj 2021,131.0,177.0,5.0,835 ,6550000.0
482,Skårby station 540,"Kareby,          Kungälvs kommun",11 maj 2021,57.0,,,1 090 ,1200000.0
483,Almvägen 21,"Diseröd,          Kungälvs kommun",11 maj 2021,158.0,,8.0,1 130 ,5300000.0
484,Glose 630,"Kärna,          Kungälvs kommun",10 maj 2021,96.0,113.0,3.0,1 187 ,4150000.0
485,Lerlycke 240,"Kärna,          Kungälvs kommun",10 maj 2021,135.0,179.0,3.0,9 078 ,6000000.0
486,Bergkristallvägen 5,"Kode,          Kungälvs kommun",8 maj 2021,126.0,135.0,5.0,477 ,5000000.0
487,Veneröd 640,"Hålta,          Kungälvs kommun",7 maj 2021,70.0,,,4 606 ,820000.0
488,Lundby 502,"Kareby,          Kungälvs kommun",7 maj 2021,137.0,,4.0,2 174 ,5700000.0
489,Hällristningsgatan 18,"Ytterby - Stället,          Kungälvs kommun",7 maj 2021,103.0,112.0,4.0,281 ,4650000.0
490,Hareslättsvägen 8,"Marstrand,          Kungälvs kommun",5 maj 2021,188.0,218.0,6.0,676 ,8800000.0
491,Sundviksvägen 39,"Tjuvkil,          Kungälvs kommun",5 maj 2021,117.0,,5.0,447 ,6300000.0
492,Prejelvägen 109,"Ullstorp,          Kungälvs kommun",5 maj 2021,122.0,134.0,5.0,432 ,5640000.0
493,Holm 220,"Bohuslän,          Kungälvs kommun",29 april 2021,175.0,268.0,7.0,479 907 ,10000000.0
494,Mycklaborgsgatan 3,"Centrum,          Kungälvs kommun",29 april 2021,149.0,169.0,5.0,684 ,5100000.0
495,Östra gatan 34,"Bohuslän,          Kungälvs kommun",29 april 2021,208.0,257.0,8.0,2 419 ,6000000.0
496,Bastubäcksvägen 33,"Ödsmålsmosse,          Kungälvs kommun",28 april 2021,85.0,,4.0,1 205 ,4175000.0
497,Ulvebackegatan 20,"Ulvegärde,          Kungälvs kommun",26 april 2021,196.0,226.0,6.0,766 ,6500000.0
498,Gårdskiftegatan 67,"Ytterby,          Kungälvs kommun",25 april 2021,103.0,137.0,4.0,780 ,5000000.0
499,Enekullsvägen 52B,"Ytterby,          Kungälvs kommun",21 april 2021,185.0,,6.0,795 ,6400000.0
500,Gulskärsvägen 21,"Tjuvkil,          Kungälvs kommun",20 april 2021,149.0,163.0,6.0,1 512 ,7400000.0
501,Mårdgatan 4,"Olseröd,          Kungälvs kommun",20 april 2021,124.0,169.0,5.0,1 122 ,7150000.0
502,Lilla Fjellsholmen 22,"Lilla Fjellsholmen,          Kungälvs kommun",19 april 2021,,,4.0,406 ,8900000.0
503,Lindvägen 8,"Ytterby,          Kungälvs kommun",16 april 2021,244.0,316.0,7.0,1 330 ,7700000.0
504,Stenåldersgatan 41,"Ytterby,          Kungälvs kommun",16 april 2021,120.0,,5.0,404 ,5350000.0
505,Harkvägen 335,"Ullstorp,          Kungälvs kommun",16 april 2021,131.0,,4.0,,4610000.0
506,Prästvägen 296,"Kareby,          Kungälvs kommun",15 april 2021,187.0,,6.0,1 434 ,8100000.0
507,Duvesjön 228,"Diseröd,          Kungälvs kommun",15 april 2021,121.0,158.0,5.0,1 150 ,4925000.0
508,Kuskalundsvägen 11,"Hålta,          Kungälvs kommun",15 april 2021,110.0,159.0,3.0,1 227 ,4025000.0
509,Ulvesund 412,"Ulvesund,          Kungälvs kommun",14 april 2021,106.0,115.0,4.0,806 ,4750000.0
510,Mantalsgatan 15,"Tega,          Kungälvs kommun",13 april 2021,110.0,,4.0,986 ,3725000.0
511,Klintegatan 7,"Kungälv - Centrum,          Kungälvs kommun",13 april 2021,143.0,255.0,5.0,798 ,7750000.0
512,Duvesjön 205,"Diseröd,          Kungälvs kommun",12 april 2021,126.0,,4.0,1 062 ,4700000.0
513,Nygatan 6,"Marstrand - Koön,          Kungälvs kommun",8 april 2021,90.0,,4.0,376 ,7500000.0
514,Prästvägen 170,"Kareby,          Kungälvs kommun",8 april 2021,95.0,235.0,7.0,2 868 ,3770000.0
515,Hammarberg 825,"Kode,          Kungälvs kommun",4 april 2021,65.0,139.0,5.0,3 030 ,4350000.0
516,Duvesjön 420,"Bohuslän,          Kungälvs kommun",2 april 2021,127.0,137.0,5.0,834 ,5400000.0
517,Rönnvägen 11,"Diseröd,          Kungälvs kommun",1 april 2021,120.0,208.0,6.0,849 ,3465000.0
518,Toreby mosse 570,"Ytterby,          Kungälvs kommun",1 april 2021,110.0,190.0,8.0,1 375 ,2980000.0
519,Häljeröd 106,"Diseröd,          Kungälvs kommun",1 april 2021,120.0,210.0,8.0,1 734 ,3700000.0
520,Domsvägen 7B,"Centralt Ytterby,          Kungälvs kommun",26 mars 2021,159.0,221.0,6.0,600 ,5500000.0
521,Grandalen 110,"Duvesjön,          Kungälvs kommun",25 mars 2021,65.0,,2.0,1 121 ,2375000.0
522,Kroken 142,"Harestad,          Kungälvs kommun",25 mars 2021,,,,1 175 ,3900000.0
523,Ekvägen 2,"Ytterby,          Kungälvs kommun",23 mars 2021,177.0,237.0,7.0,769 ,7700000.0
524,Råckeröd 140,"Kärna,          Kungälvs kommun",22 mars 2021,66.0,86.0,3.0,2 269 ,3800000.0
525,Nätstigen 7,"Centralt,          Kungälvs kommun",19 mars 2021,120.0,,4.0,299 ,3900000.0
526,Hallbjörtorp 492,"Kärna,          Kungälvs kommun",18 mars 2021,104.0,112.0,3.0,1 499 ,3900000.0
527,Dösebacka 130,"Diseröd,          Kungälvs kommun",18 mars 2021,123.0,164.0,6.0,4 859 ,5350000.0
528,Åsgatan 17A,"Centrum,          Kungälvs kommun",17 mars 2021,84.0,128.0,4.0,903 ,5620000.0
529,Tvetgatan 263,"Tveten,          Kungälvs kommun",17 mars 2021,100.0,150.0,6.0,138 ,3850000.0
530,Olserödsgatan 86,"Kungälv - Olseröd,          Kungälvs kommun",16 mars 2021,104.0,,5.0,288 ,4050000.0
531,Tjuvkil 450,"Tjuvkil,          Kungälvs kommun",16 mars 2021,237.0,355.0,8.0,1 434 ,3120000.0
532,Rondan 19,"Rörtången / Ödsmålsmosse,          Kungälvs kommun",16 mars 2021,60.0,120.0,4.0,1 927 ,4400000.0
533,Åsebyberg 960,"Kode,          Kungälvs kommun",16 mars 2021,157.0,173.0,5.0,1 038 ,3850000.0
534,Ulvegärdegatan 15,"Ulvegärde,          Kungälvs kommun",16 mars 2021,140.0,236.0,7.0,1 438 ,6100000.0
535,Solhultsgatan 27,"Komarken,          Kungälvs kommun",15 mars 2021,100.0,,4.0,560 ,3315000.0
536,Flateby 480,"Harestad,          Kungälvs kommun",12 mars 2021,59.0,75.0,3.0,1 194 ,1600000.0
537,Björkebacka 114,"Kareby,          Kungälvs kommun",11 mars 2021,104.0,,5.0,996 ,5100000.0
538,Älvängen 130,"Harestad,          Kungälvs kommun",10 mars 2021,317.0,388.0,10.0,1 180 ,5250000.0
539,Tegskiftegatan 46,"Ytterby,          Kungälvs kommun",3 mars 2021,184.0,238.0,8.0,865 ,6850000.0
540,Sjöhåla strandväg 12,"Kärna,          Kungälvs kommun",2 mars 2021,99.0,,4.0,1 441 ,4350000.0
541,Skardet 120,"Kode,          Kungälvs kommun",27 februari 2021,141.0,,6.0,2 086 ,5300000.0
542,Granliden 11,"Vedhall,          Kungälvs kommun",27 februari 2021,253.0,276.0,5.0,578 ,9200000.0
543,Önneröd 220,"Kärna,          Kungälvs kommun",25 februari 2021,112.0,,4.0,25 370 ,3000000.0
544,Duvesjön 232,"Duvesjön,          Kungälvs kommun",24 februari 2021,122.0,,5.0,1 076 ,4725000.0
545,Annas väg 4,"Kärna,          Kungälvs kommun",22 februari 2021,102.0,109.0,4.0,1 158 ,3700000.0
546,Madängsgatan 13,"Centrum,          Kungälvs kommun",18 februari 2021,154.0,172.0,7.0,740 ,5750000.0
547,Bokvägen 12,"Fontin,          Kungälvs kommun",15 februari 2021,175.0,210.0,6.0,635 ,7400000.0
548,Tullaregatan 3,"Marstrandsön,          Kungälvs kommun",12 februari 2021,160.0,,5.0,333 ,15800000.0
549,Ulvegärdegatan 15B,"Ulvegärde,          Kungälvs kommun",11 februari 2021,80.0,,4.0,914 ,3700000.0
550,Guddeby 174,"Ytterby / Guddeby,          Kungälvs kommun",10 februari 2021,143.0,,6.0,1 257 ,5475000.0
551,Gamla Trollhättevägen 6,"Centralt,          Kungälvs kommun",9 februari 2021,210.0,380.0,8.0,1 368 ,7600000.0
552,Lybeck 151,"Diseröd,          Kungälvs kommun",8 februari 2021,117.0,157.0,4.0,1 572 ,5120000.0
553,Furuvägen 8,"Diseröd,          Kungälvs kommun",5 februari 2021,102.0,204.0,4.0,715 ,3100000.0
554,Barlinds Väg 4B,"Instön,          Kungälvs kommun",4 februari 2021,80.0,105.0,4.0,,7900000.0
555,Settungsvägen 48,"Ullstorp,          Kungälvs kommun",3 februari 2021,123.0,145.0,4.0,543 ,5935000.0
556,Toftebergsvägen 2,"Tjuvkil,          Kungälvs kommun",3 februari 2021,85.0,91.0,5.0,1 085 ,3895000.0
557,Skårshöjd 6,"Kärna,          Kungälvs kommun",31 januari 2021,107.0,,3.0,909 ,4575000.0
558,Lyckevägen 5C,"Kärna,          Kungälvs kommun",29 januari 2021,95.0,156.0,3.0,1 060 ,4500000.0
559,Odlingsgatan 88,"Ytterby,          Kungälvs kommun",28 januari 2021,130.0,,5.0,464 ,5275000.0
560,Rishammarvägen 2,"Kareby,          Kungälvs kommun",28 januari 2021,155.0,217.0,8.0,2 086 ,6770000.0
561,Lerlycke 210,"Kärna,          Kungälvs kommun",28 januari 2021,148.0,,5.0,925 ,4030000.0
562,Näckrosvägen 7A,"Kärna,          Kungälvs kommun",27 januari 2021,140.0,,5.0,1 321 ,6650000.0
563,Lilla Fjellsholmen 11,"Lilla Fjellsholmen,          Kungälvs kommun",27 januari 2021,103.0,,5.0,414 ,8700000.0
564,Åsebyberg 655,"Åsebyberg,          Kungälvs kommun",26 januari 2021,35.0,,2.0,2 854 ,2700000.0
565,Håkons gata 2,"Centrum,          Kungälvs kommun",24 januari 2021,124.0,248.0,6.0,1 006 ,5350000.0
566,Beryllvägen 11,"Kode,          Kungälvs kommun",23 januari 2021,123.0,,5.0,350 ,3650000.0
567,Glöskär 390,"Kärna,          Kungälvs kommun",22 januari 2021,170.0,,5.0,2 171 ,5100000.0
568,Täljstensgatan 4,"Ytterby,          Kungälvs kommun",21 januari 2021,70.0,82.0,3.0,478 ,3600000.0
569,Glose 650,"Bohuslän,          Kungälvs kommun",19 januari 2021,75.0,,,3 702 ,2950000.0
570,Bärtas väg 10,"Ödsmålsmosse,          Kungälvs kommun",18 januari 2021,30.0,,2.0,1 525 ,1600000.0
571,Kantorvägen 3,"Bohuslän,          Kungälvs kommun",13 januari 2021,165.0,179.0,5.0,761 ,4625000.0
572,Holm 160,"Kärna,          Kungälvs kommun",12 januari 2021,143.0,251.0,5.0,3 125 ,4525000.0
573,Högsberg 355,"Kode,          Kungälvs kommun",11 januari 2021,98.0,,4.0,1 797 ,3825000.0
574,Skårby station 215,"Kareby,          Kungälvs kommun",7 januari 2021,95.0,183.0,5.0,1 498 ,3700000.0
575,Signehög 240,"Signehög,          Kungälvs kommun",23 december 2020,121.0,198.0,3.0,,2500000.0
576,Munkegärdegatan 253,"Kungälv Munkegärde,          Kungälvs kommun",21 december 2020,134.0,244.0,8.0,899 ,6060000.0
577,Klintegatan 21,"Kungälv,          Kungälvs kommun",18 december 2020,90.0,,3.0,672 ,3800000.0
578,Prästvägen 788,"Bohuslän,          Kungälvs kommun",16 december 2020,175.0,,8.0,1 456 ,6150000.0
579,Almvägen 19,"Bohuslän,          Kungälvs kommun",12 december 2020,162.0,,4.0,801 ,5325000.0
580,Oxelvägen 80,"Diseröd,          Kungälvs kommun",9 december 2020,139.0,159.0,7.0,751 ,5475000.0
581,Byvägen 42,"Kode,          Kungälvs kommun",8 december 2020,54.0,,,1 521 ,1750000.0
582,Källeröd 193,"Kareby,          Kungälvs kommun",4 december 2020,126.0,,6.0,1 163 ,4495000.0
583,Ulvesund 415,"Ytterby,          Kungälvs kommun",2 december 2020,48.0,,3.0,791 ,2060000.0
584,Bollestad 130,"Kareby,          Kungälvs kommun",2 december 2020,145.0,200.0,6.0,1 554 ,3975000.0
585,Klockarvägen 6,"Bohuslän,          Kungälvs kommun",1 december 2020,137.0,,5.0,561 ,4450000.0
586,Västerhöjdsvägen 36,"Kärna,          Kungälvs kommun",1 december 2020,107.0,,4.0,258 ,4425000.0
587,Sjöstigen 7,"Kungälv,          Kungälvs kommun",30 november 2020,115.0,,5.0,289 ,3400000.0
588,Alekärr 125,"Romelanda,          Kungälvs kommun",30 november 2020,120.0,,4.0,1 950 ,5600000.0
589,Rörmossevägen 170,"Kungälv,          Kungälvs kommun",30 november 2020,214.0,,8.0,2 864 ,4950000.0
590,Kroken 210,"Bohuslän,          Kungälvs kommun",29 november 2020,139.0,178.0,6.0,1 447 ,5500000.0
591,Mellan-Restad 355,"Bohuslän,          Kungälvs kommun",28 november 2020,70.0,85.0,4.0,851 ,4160000.0
592,Lönnvägen 1,"Ytterby,          Kungälvs kommun",24 november 2020,137.0,,6.0,630 ,4800000.0
593,Hammarberg 900,"Kode,          Kungälvs kommun",24 november 2020,75.0,,4.0,1 106 ,2575000.0
594,Brunnefjällsvägen 27,"Vedhall,          Kungälvs kommun",23 november 2020,60.0,,4.0,1 571 ,2300000.0
595,Onyxvägen 5,"Kode,          Kungälvs kommun",22 november 2020,155.0,,5.0,532 ,5100000.0
596,Olgas väg 1C,"Timmervik,          Kungälvs kommun",20 november 2020,140.0,,5.0,1 342 ,5525000.0
597,Ametistvägen 1,"Kode,          Kungälvs kommun",19 november 2020,98.0,190.0,5.0,936 ,4135000.0
598,Ställets bygata 98,"Ytterby - Stället,          Kungälvs kommun",18 november 2020,163.0,,6.0,632 ,5850000.0
599,Barlinds väg 23,"Marstrand - Instön,          Kungälvs kommun",13 november 2020,114.0,119.0,5.0,1 340 ,7000000.0
600,Slottsgatan 11,"Marstrand - Koön,          Kungälvs kommun",11 november 2020,142.0,,5.0,448 ,14000000.0
601,Duvesjön 359,"Diseröd,          Kungälvs kommun",10 november 2020,117.0,157.0,4.0,1 091 ,4170000.0
602,Dalvägen 17,"Ödsmålsmosse,          Kungälvs kommun",9 november 2020,45.0,85.0,4.0,1 036 ,2800000.0
603,Bergkristallvägen 25,"Kode,          Kungälvs kommun",4 november 2020,127.0,,5.0,531 ,4700000.0
604,Guddeby 172,"Ytterby,          Kungälvs kommun",4 november 2020,143.0,,6.0,1 090 ,5275000.0
605,Kornhall 210,"Kornhall,          Kungälvs kommun",29 oktober 2020,110.0,132.0,5.0,570 ,4060000.0
606,Olserödsgatan 32,"Olseröd,          Kungälvs kommun",26 oktober 2020,118.0,,6.0,274 ,3905000.0
607,Nolhagsvägen 22,"Aröd,          Kungälvs kommun",26 oktober 2020,102.0,173.0,5.0,3 489 ,5000000.0
608,Solberga 510,"Solberga,          Kungälvs kommun",23 oktober 2020,98.0,156.0,4.0,1 517 ,4195000.0
609,Grindbacken 17,"Grinden,          Kungälvs kommun",23 oktober 2020,191.0,211.0,6.0,958 ,8600000.0
610,Skårby station 453,"Kareby,          Kungälvs kommun",22 oktober 2020,129.0,,5.0,950 ,3995000.0
611,Nämndemansvägen 25,"Ytterby,          Kungälvs kommun",19 oktober 2020,136.0,161.0,4.0,560 ,4850000.0
612,Harkeröd 380,"Hålta,          Kungälvs kommun",16 oktober 2020,121.0,,4.0,1 375 ,2995000.0
613,Briljantvägen 23,"Kode,          Kungälvs kommun",15 oktober 2020,149.0,,6.0,445 ,4150000.0
614,Överås 110,"Ytterby,          Kungälvs kommun",13 oktober 2020,168.0,225.0,6.0,26 600 ,6545000.0
615,Glose 660,"Kärna,          Kungälvs kommun",13 oktober 2020,81.0,,3.0,1 703 ,2900000.0
616,Klockarvägen 4,"Diseröd,          Kungälvs kommun",10 oktober 2020,154.0,,6.0,561 ,3800000.0
617,Hagtornsvägen 7,"Diseröd,          Kungälvs kommun",9 oktober 2020,112.0,224.0,6.0,825 ,4500000.0
618,Stenåldersgatan 52,"Stället,          Kungälvs kommun",8 oktober 2020,117.0,,4.0,345 ,4800000.0
619,Diamantvägen 36,"Kungälv - Kode,          Kungälvs kommun",7 oktober 2020,123.0,,5.0,510 ,3775000.0
620,Hammar 350,"Kornhall,          Kungälvs kommun",7 oktober 2020,148.0,,6.0,1 143 ,4500000.0
621,Munkegärdegatan 21,"Munkegärde,          Kungälvs kommun",1 oktober 2020,118.0,,4.0,179 ,4300000.0
622,Häljeröd 130,"Bohuslän,          Kungälvs kommun",30 september 2020,128.0,,4.0,1 267 ,3930000.0
623,Solbräcke 212,"Solbräcke,          Kungälvs kommun",29 september 2020,144.0,,6.0,976 ,4995000.0
624,Korpvägen 265,"Ullstorp,          Kungälvs kommun",28 september 2020,133.0,151.0,6.0,401 ,5950000.0
625,Vallhjonsgatan 8,"Marstrand - Koön,          Kungälvs kommun",28 september 2020,162.0,,6.0,748 ,8500000.0
626,Hallbjörtorp 370,"Kärna,          Kungälvs kommun",26 september 2020,30.0,60.0,2.0,1 535 ,2900000.0
627,Rådmansgatan 4,"Kungälv - Centrum,          Kungälvs kommun",26 september 2020,221.0,231.0,6.0,678 ,6400000.0
628,Knaverstad-Ryr 590,"Aröd,          Kungälvs kommun",25 september 2020,80.0,,3.0,1 007 ,3100000.0
629,Häljeröd 390,"Diseröd,          Kungälvs kommun",24 september 2020,115.0,152.0,5.0,3 700 ,4500000.0
630,Grenvägen 9,"Tjuvkil,          Kungälvs kommun",24 september 2020,56.0,58.0,3.0,1 215 ,2530000.0
631,Solskiftegatan 29,"Ytterby,          Kungälvs kommun",24 september 2020,192.0,248.0,7.0,932 ,5700000.0
632,Hermelingatan 11,"Kungälv - Olseröd,          Kungälvs kommun",23 september 2020,126.0,151.0,5.0,548 ,5600000.0
633,Ställets bygata 160,"Ytterby - Stället,          Kungälvs kommun",22 september 2020,165.0,,7.0,823 ,5900000.0
634,Västerhöjdsvägen 30,"Kärna,          Kungälvs kommun",21 september 2020,104.0,,5.0,250 ,3760000.0
635,Havregången 11,"Centrum,          Kungälvs kommun",21 september 2020,150.0,192.0,4.0,588 ,4400000.0
636,Nereby 340,"Harestad,          Kungälvs kommun",20 september 2020,129.0,,5.0,1 344 ,2700000.0
637,Länsmansvägen 5,"Ytterby,          Kungälvs kommun",18 september 2020,108.0,244.0,5.0,573 ,4600000.0
638,Duvesjön 302,"Duvesjön,          Kungälvs kommun",17 september 2020,120.0,194.0,4.0,1 506 ,5615000.0
639,Skårby station 455,"Bohuslän,          Kungälvs kommun",16 september 2020,,,,800 ,3995000.0
640,Klövergången 6,"Centralt,          Kungälvs kommun",16 september 2020,120.0,,5.0,402 ,3440000.0
641,Västerhöjdsvägen 40,"Kärna,          Kungälvs kommun",15 september 2020,107.0,115.0,4.0,274 ,4100000.0
642,Dösebacka 450,"Diseröd,          Kungälvs kommun",13 september 2020,104.0,144.0,5.0,4 320 ,3520000.0
643,Duvesjön 362,"Diseröd,          Kungälvs kommun",11 september 2020,120.0,,4.0,1 024 ,4220000.0
644,Fjärdingsgatan 9,"Ytterby,          Kungälvs kommun",11 september 2020,120.0,188.0,5.0,1 680 ,4650000.0
645,Havregången 9,"Kungälv,          Kungälvs kommun",10 september 2020,181.0,,7.0,402 ,4415000.0
646,Stinneröd 160,"Romelanda,          Kungälvs kommun",10 september 2020,96.0,,5.0,1 815 ,3525000.0
647,Löstorp 180,"Kareby,          Kungälvs kommun",9 september 2020,48.0,68.0,,84 425 ,5500000.0
648,Trankärr 210,"Centralt,          Kungälvs kommun",9 september 2020,209.0,256.0,8.0,2 855 ,6700000.0
649,Trankärr 230,"Centralt,          Kungälvs kommun",9 september 2020,152.0,186.0,6.0,2 056 ,4795000.0
650,Stora Ryr 110,"Lycke,          Kungälvs kommun",8 september 2020,116.0,192.0,7.0,1 434 ,3795000.0
651,Kungälvsvägen 64,"Centralt,          Kungälvs kommun",8 september 2020,137.0,195.0,5.0,853 ,5350000.0
652,Bremnäs 190,"Lycke,          Kungälvs kommun",5 september 2020,120.0,211.0,,1 559 ,2700000.0
653,Prejelvägen 117,"Ullstorp,          Kungälvs kommun",5 september 2020,122.0,137.0,5.0,596 ,5560000.0
654,Lievägen 234,"Kungälv,          Kungälvs kommun",4 september 2020,106.0,,4.0,319 ,4850000.0
655,Situlagatan 4,"Stället,          Kungälvs kommun",3 september 2020,138.0,,5.0,636 ,6040000.0
656,Djupuddsvägen 2,"Marstrand - Instön,          Kungälvs kommun",3 september 2020,135.0,,5.0,1 268 ,5100000.0
657,Hallbjörtorp 410,"Kärna,          Kungälvs kommun",3 september 2020,172.0,,6.0,1 884 ,5050000.0
658,Tvetgatan 223,"Tveten,          Kungälvs kommun",1 september 2020,130.0,,5.0,138 ,3375000.0
659,Grönviksvägen 22,"Kärna / Sundhammar,          Kungälvs kommun",30 augusti 2020,130.0,200.0,4.0,1 741 ,6800000.0
660,Kungälvsvägen 37,"Grinden,          Kungälvs kommun",28 augusti 2020,89.0,,4.0,227 ,3981000.0
661,Marielundsvägen 11,"Koön,          Kungälvs kommun",27 augusti 2020,166.0,,6.0,1 074 ,6145000.0
662,Harkvägen 347,"Ullstorp,          Kungälvs kommun",27 augusti 2020,126.0,,4.0,,4500000.0
663,Romelandavägen 110,"Centralt,          Kungälvs kommun",23 augusti 2020,125.0,162.0,4.0,701 ,3700000.0
664,Kareby kyrkväg 258,"Kareby,          Kungälvs kommun",21 augusti 2020,106.0,,4.0,617 ,3300000.0
665,Gråstensvägen 14,"Kode,          Kungälvs kommun",21 augusti 2020,94.0,190.0,5.0,1 424 ,3550000.0
666,Klövergången 7,"Centralt,          Kungälvs kommun",21 augusti 2020,125.0,,4.0,401 ,4300000.0
667,Stora Risby 540,"Bohuslän,          Kungälvs kommun",20 augusti 2020,47.0,,3.0,902 ,2725000.0
668,Rävo 120,"Hålta,          Kungälvs kommun",20 augusti 2020,96.0,160.0,5.0,1 819 ,2300000.0
669,Rådmansgatan 21,"Kungälv - Centrum,          Kungälvs kommun",17 augusti 2020,120.0,194.0,5.0,964 ,6530000.0
670,Ametistvägen 12,"Kode,          Kungälvs kommun",13 augusti 2020,107.0,,5.0,918 ,4250000.0
671,Lingonvägen 11,"Centralt,          Kungälvs kommun",13 augusti 2020,123.0,147.0,4.0,742 ,5700000.0
672,Munkegärdegatan 313,"Munkegärde,          Kungälvs kommun",12 augusti 2020,135.0,155.0,5.0,309 ,4800000.0
673,Norrmannebo 440,"Romelanda,          Kungälvs kommun",12 augusti 2020,81.0,160.0,5.0,2 036 ,3550000.0
674,Rostock 170,"Romelanda,          Kungälvs kommun",12 augusti 2020,84.0,172.0,4.0,1 544 ,3500000.0
675,Hallbjörtorp 350,"Kärna,          Kungälvs kommun",10 augusti 2020,130.0,170.0,7.0,80 081 ,5100000.0
676,Harkvägen 337,"Ullstorp,          Kungälvs kommun",10 augusti 2020,131.0,,5.0,,5410000.0
677,Mjölnarvägen 3,"Diseröd,          Kungälvs kommun",5 augusti 2020,137.0,,5.0,534 ,3830000.0
678,Bredsten 300,"Bredsten,          Kungälvs kommun",4 augusti 2020,119.0,,,1 889 ,4100000.0
679,Stinneröd 130,"Romelanda,          Kungälvs kommun",4 augusti 2020,187.0,,6.0,1 468 ,4150000.0
680,Spaghamnsvägen 10,"Tjuvkil nära Marstrand,          Kungälvs kommun",3 augusti 2020,165.0,185.0,5.0,1 280 ,12500000.0
681,Storskiftegatan 13,"Tega,          Kungälvs kommun",31 juli 2020,130.0,,5.0,145 ,3800000.0
682,Hålta Annex 110,"Hålta,          Kungälvs kommun",30 juli 2020,217.0,225.0,8.0,42 350 ,7250000.0
683,Lid 170,"Diseröd,          Kungälvs kommun",28 juli 2020,86.0,137.0,4.0,6 235 ,2460000.0
684,Knaverstad-Ryr 450,"Kode,          Kungälvs kommun",27 juli 2020,78.0,,3.0,885 ,3500000.0
685,Bergsgatan 10,"Marstrand Koön,          Kungälvs kommun",25 juli 2020,175.0,275.0,6.0,896 ,6900000.0
686,Bråta 140,"Romelanda,          Kungälvs kommun",24 juli 2020,35.0,40.0,3.0,2 165 ,1475000.0
687,Grokareby 210,"Kareby,          Kungälvs kommun",23 juli 2020,70.0,,4.0,4 713 ,1250000.0
688,Hallebäcksvägen 13,"Timmervik,          Kungälvs kommun",22 juli 2020,113.0,163.0,5.0,3 636 ,4875000.0
689,Gamla Kungälvsvägen 9B,"Kungälv - Centralt,          Kungälvs kommun",21 juli 2020,194.0,,6.0,1 061 ,7300000.0
690,Diamantvägen 52,"Kode,          Kungälvs kommun",21 juli 2020,156.0,,5.0,557 ,4750000.0
691,Ametistvägen 4,"Kode,          Kungälvs kommun",21 juli 2020,98.0,193.0,5.0,866 ,4400000.0
692,Bollestad 310,"Bollestad,          Kungälvs kommun",14 juli 2020,140.0,,6.0,6 876 ,4150000.0
693,Holm 310,"Kungälv - Kärna,          Kungälvs kommun",10 juli 2020,66.0,102.0,3.0,2 077 ,2970000.0
694,Skårshöjd 9,"Kärna,          Kungälvs kommun",10 juli 2020,112.0,,4.0,988 ,4500000.0
695,Bärtas väg 8,"Kode,          Kungälvs kommun",9 juli 2020,57.0,,3.0,1 503 ,3100000.0
696,Myrebackavägen 305,"Kareby,          Kungälvs kommun",9 juli 2020,166.0,,6.0,1 504 ,4630000.0
697,Gråstensvägen 16,"Kode,          Kungälvs kommun",3 juli 2020,97.0,,4.0,1 381 ,3650000.0
698,Knaverstad-Ryr 580,"Aröd,          Kungälvs kommun",2 juli 2020,158.0,162.0,6.0,1 012 ,3650000.0
699,Pölen 120,"Kungälv - Hålta,          Kungälvs kommun",1 juli 2020,138.0,213.0,5.0,812 ,4800000.0
700,Lerskärsvägen 18,"Kungälv - Tjuvkil,          Kungälvs kommun",30 juni 2020,65.0,130.0,5.0,1 216 ,3400000.0
701,Bremnäs 510,"Lycke,          Kungälvs kommun",30 juni 2020,85.0,130.0,4.0,2 915 ,2350000.0
702,Nedre Rådalsvägen 18,"Aröd/timmervik,          Kungälvs kommun",29 juni 2020,90.0,,5.0,3 074 ,3100000.0
703,Hövdingagatan 3,"Komarken,          Kungälvs kommun",29 juni 2020,162.0,211.0,5.0,626 ,5300000.0
704,Enekullsvägen 24,"Ytterby,          Kungälvs kommun",28 juni 2020,200.0,224.0,7.0,980 ,5500000.0
705,Bärnstensvägen 9,"Kode,          Kungälvs kommun",26 juni 2020,100.0,195.0,5.0,1 547 ,4000000.0
706,Skårsäng 115,"Kärna,          Kungälvs kommun",25 juni 2020,114.0,127.0,5.0,616 ,4400000.0
707,Över-Restad 164,"Hålta,          Kungälvs kommun",25 juni 2020,,,6.0,1 077 ,4670000.0
708,Staby 260,"Staby,          Kungälvs kommun",24 juni 2020,115.0,205.0,6.0,1 125 ,2650000.0
709,Lundby 380,"Kareby,          Kungälvs kommun",23 juni 2020,140.0,,5.0,1 818 ,4200000.0
710,Plogvägen 170,"Ullstorp,          Kungälvs kommun",23 juni 2020,122.0,,5.0,266 ,5125000.0
711,Settungsvägen 28,"Kungälv,          Kungälvs kommun",18 juni 2020,141.0,165.0,6.0,429 ,6150000.0
712,Toftåsen 6,"Bohuslän,          Kungälvs kommun",18 juni 2020,74.0,,3.0,1 066 ,3050000.0
