,Address,Location,Date of sale,Boarea (m²),Total Area (m²),Rooms,Plot Area (m²),Closing price (kr)
52,Solberg 420,"Romelanda,          Kungälvs kommun",16 juni 2023,90.0,155.0,3.0,2 968 ,2350000.0
53,Kovikshamn 160,"Kovikshamn,          Kungälvs kommun",15 juni 2023,124.0,132.0,4.0,1 400 ,4300000.0
54,Blankas gata 3,"Kungälv - Centralt,          Kungälvs kommun",14 juni 2023,130.0,282.0,7.0,980 ,6350000.0
55,Ljungvägen 20,"Kode,          Kungälvs kommun",14 juni 2023,34.0,,2.0,304 ,2370000.0
56,Rubinvägen 27,"Kode,          Kungälvs kommun",14 juni 2023,195.0,,6.0,991 ,3500000.0
57,Ulvesund 419,"Kungälv - Ulvesund,          Kungälvs kommun",8 juni 2023,65.0,,2.0,688 ,3000000.0
58,Erslycke 140,"Lycke,          Kungälvs kommun",8 juni 2023,162.0,186.0,5.0,1 820 ,5700000.0
59,Önneröd 145,"Kärna,          Kungälvs kommun",3 juni 2023,110.0,,4.0,1 030 ,4675000.0
60,Ställets bygata 156,"Ytterby,          Kungälvs kommun",2 juni 2023,146.0,,7.0,742 ,6495000.0
61,Hallebäcksvägen 24,"Timmervik,          Kungälvs kommun",1 juni 2023,105.0,,4.0,1 337 ,5250000.0
62,Bergkristallvägen 8,"Kode,          Kungälvs kommun",1 juni 2023,127.0,135.0,4.0,518 ,4795000.0
63,Hammarhöjden 670,"Bohuslän,          Kungälvs kommun",1 juni 2023,100.0,147.0,,1 090 ,3200000.0
64,Sålådevägen 554,"Ullstorp,          Kungälvs kommun",1 juni 2023,173.0,,6.0,800 ,8600000.0
65,Hjälmgatan 7,"Ytterby,          Kungälvs kommun",31 maj 2023,96.0,,3.0,463 ,4000000.0
66,Strömgatan 9,"Ytterby,          Kungälvs kommun",31 maj 2023,127.0,,5.0,890 ,6295000.0
67,Krappvägen 570,"Ullstorp,          Kungälvs kommun",25 maj 2023,230.0,255.0,8.0,788 ,9500000.0
68,Norrmannebo 650,"Bohuslän,          Kungälvs kommun",19 maj 2023,143.0,193.0,6.0,20 500 ,5800000.0
69,Ängsgatan  23,"Centralt,          Kungälvs kommun",18 maj 2023,91.0,178.0,5.0,743 ,4625000.0
70,Stenåldersgatan 14,"Stället,          Kungälvs kommun",18 maj 2023,107.0,,5.0,452 ,5050000.0
