,Address,Location,Date of sale,Bo area (m²),Total Area (m²),Rooms,Plot Area (m²),Closing price (kr)
468,Skårby mosse 872,"Kareby,          Kungälvs kommun",21 maj 2021,160,NaN,6,2 663 ,7 200 000 
469,Hermansby 224,"Kärna,          Kungälvs kommun",21 maj 2021,178,NaN,6,1 494 ,7 200 000 
470,Parkgatan 18,"Marstrand - Koön,          Kungälvs kommun",19 maj 2021,160,160+30,6,562 ,9 400 000 
471,Lyckevägen 5B,"Kärna,          Kungälvs kommun",19 maj 2021,95,95+61,3,673 ,4 400 000 
472,Saltskärsvägen 10,"Kungälv - Lycke,          Kungälvs kommun",19 maj 2021,64,NaN,3,3 440 ,3 125 000 
473,Stora Risby 480,"Hålta,          Kungälvs kommun",18 maj 2021,108,108+26,5,941 ,4 950 000 
474,Harkvägen 323,"Kungälv - Ullstorp,          Kungälvs kommun",18 maj 2021,126,NaN,4,Nan,4 705 000 
475,Grepvägen 385,"Ullstorp,          Kungälvs kommun",18 maj 2021,121,121+29,5,388 ,5 640 000 
476,Fridhemsgatan 9,"Centralt,          Kungälvs kommun",17 maj 2021,137,137+90,6,850 ,6 525 000 
477,Lökebergsvägen 43,"Lökeberg,          Kungälvs kommun",17 maj 2021,120,120+54,4,3 364 ,4 825 000 
478,Häljeröd 210,"Romelanda,          Kungälvs kommun",16 maj 2021,160,160+35,4,1 690 ,3 550 000 
479,Vegestorp 210,"Kareby,          Kungälvs kommun",14 maj 2021,98,98+98,5,1 610 ,4 125 000 
480,Olvonvägen 27,"Diseröd,          Kungälvs kommun",12 maj 2021,123,123+97,6,682 ,5 150 000 
481,Storskiftegatan 55,"Ytterby,          Kungälvs kommun",11 maj 2021,131,131+46,5,835 ,6 550 000 
482,Skårby station 540,"Kareby,          Kungälvs kommun",11 maj 2021,57,NaN,Nan,1 090 ,1 200 000 
483,Almvägen 21,"Diseröd,          Kungälvs kommun",11 maj 2021,158,NaN,8,1 130 ,5 300 000 
484,Glose 630,"Kärna,          Kungälvs kommun",10 maj 2021,96,96+17,3,1 187 ,4 150 000 
485,Lerlycke 240,"Kärna,          Kungälvs kommun",10 maj 2021,135,135+44,3,9 078 ,6 000 000 
486,Bergkristallvägen 5,"Kode,          Kungälvs kommun",8 maj 2021,126,126+9,5,477 ,5 000 000 
487,Veneröd 640,"Hålta,          Kungälvs kommun",7 maj 2021,70,NaN,Nan,4 606 ,820 000 
488,Lundby 502,"Kareby,          Kungälvs kommun",7 maj 2021,137,NaN,4,2 174 ,5 700 000 
489,Hällristningsgatan 18,"Ytterby - Stället,          Kungälvs kommun",7 maj 2021,103,103+9,4,281 ,4 650 000 
490,Hareslättsvägen 8,"Marstrand,          Kungälvs kommun",5 maj 2021,188,188+30,6,676 ,8 800 000 
491,Sundviksvägen 39,"Tjuvkil,          Kungälvs kommun",5 maj 2021,117,NaN,5,447 ,6 300 000 
492,Prejelvägen 109,"Ullstorp,          Kungälvs kommun",5 maj 2021,122,122+12,5,432 ,5 640 000 
493,Holm 220,"Bohuslän,          Kungälvs kommun",29 april 2021,175,175+93,7,479 907 ,10 000 000 
494,Mycklaborgsgatan 3,"Centrum,          Kungälvs kommun",29 april 2021,149,149+20,5,684 ,5 100 000 
495,Östra gatan 34,"Bohuslän,          Kungälvs kommun",29 april 2021,208,208+49,8,2 419 ,6 000 000 
496,Bastubäcksvägen 33,"Ödsmålsmosse,          Kungälvs kommun",28 april 2021,85,NaN,4,1 205 ,4 175 000 
497,Ulvebackegatan 20,"Ulvegärde,          Kungälvs kommun",26 april 2021,196,196+30,6,766 ,6 500 000 
498,Gårdskiftegatan 67,"Ytterby,          Kungälvs kommun",25 april 2021,103,103+34,4,780 ,5 000 000 
499,Enekullsvägen 52B,"Ytterby,          Kungälvs kommun",21 april 2021,185,NaN,6,795 ,6 400 000 
500,Gulskärsvägen 21,"Tjuvkil,          Kungälvs kommun",20 april 2021,149,149+14,6,1 512 ,7 400 000 
501,Mårdgatan 4,"Olseröd,          Kungälvs kommun",20 april 2021,124,124+45,5,1 122 ,7 150 000 
502,Lilla Fjellsholmen 22,"Lilla Fjellsholmen,          Kungälvs kommun",19 april 2021,4,NaN,4,406 ,8 900 000 
503,Lindvägen 8,"Ytterby,          Kungälvs kommun",16 april 2021,244,244+72,7,1 330 ,7 700 000 
504,Stenåldersgatan 41,"Ytterby,          Kungälvs kommun",16 april 2021,120,NaN,5,404 ,5 350 000 
505,Harkvägen 335,"Ullstorp,          Kungälvs kommun",16 april 2021,131,NaN,4,Nan,4 610 000 
506,Prästvägen 296,"Kareby,          Kungälvs kommun",15 april 2021,187,NaN,6,1 434 ,8 100 000 
507,Duvesjön 228,"Diseröd,          Kungälvs kommun",15 april 2021,121,121+37,5,1 150 ,4 925 000 
508,Kuskalundsvägen 11,"Hålta,          Kungälvs kommun",15 april 2021,110,110+49,3,1 227 ,4 025 000 
509,Ulvesund 412,"Ulvesund,          Kungälvs kommun",14 april 2021,106,106+9,4,806 ,4 750 000 
510,Mantalsgatan 15,"Tega,          Kungälvs kommun",13 april 2021,110,NaN,4,986 ,3 725 000 
511,Klintegatan 7,"Kungälv - Centrum,          Kungälvs kommun",13 april 2021,143,143+112,5,798 ,7 750 000 
512,Duvesjön 205,"Diseröd,          Kungälvs kommun",12 april 2021,126,NaN,4,1 062 ,4 700 000 
513,Nygatan 6,"Marstrand - Koön,          Kungälvs kommun",8 april 2021,90,NaN,4,376 ,7 500 000 
514,Prästvägen 170,"Kareby,          Kungälvs kommun",8 april 2021,95,95+140,7,2 868 ,3 770 000 
515,Hammarberg 825,"Kode,          Kungälvs kommun",4 april 2021,65,65+74,5,3 030 ,4 350 000 
516,Duvesjön 420,"Bohuslän,          Kungälvs kommun",2 april 2021,127,127+10,5,834 ,5 400 000 
517,Rönnvägen 11,"Diseröd,          Kungälvs kommun",1 april 2021,120,120+88,6,849 ,3 465 000 
518,Toreby mosse 570,"Ytterby,          Kungälvs kommun",1 april 2021,110,110+80,8,1 375 ,2 980 000 
519,Häljeröd 106,"Diseröd,          Kungälvs kommun",1 april 2021,120,120+90,8,1 734 ,3 700 000 
520,Domsvägen 7B,"Centralt Ytterby,          Kungälvs kommun",26 mars 2021,159,159+62,6,600 ,5 500 000 
521,Grandalen 110,"Duvesjön,          Kungälvs kommun",25 mars 2021,65,NaN,2,1 121 ,2 375 000 
522,Kroken 142,"Harestad,          Kungälvs kommun",25 mars 2021,,NaN,Nan,1 175 ,3 900 000 
523,Ekvägen 2,"Ytterby,          Kungälvs kommun",23 mars 2021,177,177+60,7,769 ,7 700 000 
524,Råckeröd 140,"Kärna,          Kungälvs kommun",22 mars 2021,66,66+20,3,2 269 ,3 800 000 
525,Nätstigen 7,"Centralt,          Kungälvs kommun",19 mars 2021,120,NaN,4,299 ,3 900 000 
526,Hallbjörtorp 492,"Kärna,          Kungälvs kommun",18 mars 2021,104,104+8,3,1 499 ,3 900 000 
527,Dösebacka 130,"Diseröd,          Kungälvs kommun",18 mars 2021,123,123+41,6,4 859 ,5 350 000 
528,Åsgatan 17A,"Centrum,          Kungälvs kommun",17 mars 2021,84,84+44,4,903 ,5 620 000 
529,Tvetgatan 263,"Tveten,          Kungälvs kommun",17 mars 2021,100,100+50,6,138 ,3 850 000 
530,Olserödsgatan 86,"Kungälv - Olseröd,          Kungälvs kommun",16 mars 2021,104,NaN,5,288 ,4 050 000 
531,Tjuvkil 450,"Tjuvkil,          Kungälvs kommun",16 mars 2021,237,237+118,8,1 434 ,3 120 000 
532,Rondan 19,"Rörtången / Ödsmålsmosse,          Kungälvs kommun",16 mars 2021,60,60+60,4,1 927 ,4 400 000 
533,Åsebyberg 960,"Kode,          Kungälvs kommun",16 mars 2021,157,157+16,5,1 038 ,3 850 000 
534,Ulvegärdegatan 15,"Ulvegärde,          Kungälvs kommun",16 mars 2021,140,140+96,7,1 438 ,6 100 000 
535,Solhultsgatan 27,"Komarken,          Kungälvs kommun",15 mars 2021,100,NaN,4,560 ,3 315 000 
536,Flateby 480,"Harestad,          Kungälvs kommun",12 mars 2021,59,59+16,3,1 194 ,1 600 000 
537,Björkebacka 114,"Kareby,          Kungälvs kommun",11 mars 2021,104,NaN,5,996 ,5 100 000 
538,Älvängen 130,"Harestad,          Kungälvs kommun",10 mars 2021,317,317+71,0,1 180 ,5 250 000 
539,Tegskiftegatan 46,"Ytterby,          Kungälvs kommun",3 mars 2021,184,184+54,8,865 ,6 850 000 
540,Sjöhåla strandväg 12,"Kärna,          Kungälvs kommun",2 mars 2021,99,NaN,4,1 441 ,4 350 000 
541,Skardet 120,"Kode,          Kungälvs kommun",27 februari 2021,141,NaN,6,2 086 ,5 300 000 
542,Granliden 11,"Vedhall,          Kungälvs kommun",27 februari 2021,253,253+23,5,578 ,9 200 000 
543,Önneröd 220,"Kärna,          Kungälvs kommun",25 februari 2021,112,NaN,4,25 370 ,3 000 000 
544,Duvesjön 232,"Duvesjön,          Kungälvs kommun",24 februari 2021,122,NaN,5,1 076 ,4 725 000 
545,Annas väg 4,"Kärna,          Kungälvs kommun",22 februari 2021,102,102+7,4,1 158 ,3 700 000 
546,Madängsgatan 13,"Centrum,          Kungälvs kommun",18 februari 2021,154,154+18,7,740 ,5 750 000 
547,Bokvägen 12,"Fontin,          Kungälvs kommun",15 februari 2021,175,175+35,6,635 ,7 400 000 
548,Tullaregatan 3,"Marstrandsön,          Kungälvs kommun",12 februari 2021,160,NaN,5,333 ,15 800 000 
549,Ulvegärdegatan 15B,"Ulvegärde,          Kungälvs kommun",11 februari 2021,80,NaN,4,914 ,3 700 000 
550,Guddeby 174,"Ytterby / Guddeby,          Kungälvs kommun",10 februari 2021,143,NaN,6,1 257 ,5 475 000 
551,Gamla Trollhättevägen 6,"Centralt,          Kungälvs kommun",9 februari 2021,210,210+170,8,1 368 ,7 600 000 
552,Lybeck 151,"Diseröd,          Kungälvs kommun",8 februari 2021,117,117+40,4,1 572 ,5 120 000 
553,Furuvägen 8,"Diseröd,          Kungälvs kommun",5 februari 2021,102,102+102,4,715 ,3 100 000 
554,Barlinds Väg 4B,"Instön,          Kungälvs kommun",4 februari 2021,80,80+25,4,Nan,7 900 000 
555,Settungsvägen 48,"Ullstorp,          Kungälvs kommun",3 februari 2021,123,123+22,4,543 ,5 935 000 
556,Toftebergsvägen 2,"Tjuvkil,          Kungälvs kommun",3 februari 2021,85,85+6,5,1 085 ,3 895 000 
557,Skårshöjd 6,"Kärna,          Kungälvs kommun",31 januari 2021,107,NaN,3,909 ,4 575 000 
558,Lyckevägen 5C,"Kärna,          Kungälvs kommun",29 januari 2021,95,95+61,3,1 060 ,4 500 000 
559,Odlingsgatan 88,"Ytterby,          Kungälvs kommun",28 januari 2021,130,NaN,5,464 ,5 275 000 
560,Rishammarvägen 2,"Kareby,          Kungälvs kommun",28 januari 2021,155,155+62,8,2 086 ,6 770 000 
561,Lerlycke 210,"Kärna,          Kungälvs kommun",28 januari 2021,148,NaN,5,925 ,4 030 000 
562,Näckrosvägen 7A,"Kärna,          Kungälvs kommun",27 januari 2021,140,NaN,5,1 321 ,6 650 000 
563,Lilla Fjellsholmen 11,"Lilla Fjellsholmen,          Kungälvs kommun",27 januari 2021,103,NaN,5,414 ,8 700 000 
564,Åsebyberg 655,"Åsebyberg,          Kungälvs kommun",26 januari 2021,35,NaN,2,2 854 ,2 700 000 
565,Håkons gata 2,"Centrum,          Kungälvs kommun",24 januari 2021,124,124+124,6,1 006 ,5 350 000 
566,Beryllvägen 11,"Kode,          Kungälvs kommun",23 januari 2021,123,NaN,5,350 ,3 650 000 
567,Glöskär 390,"Kärna,          Kungälvs kommun",22 januari 2021,170,NaN,5,2 171 ,5 100 000 
568,Täljstensgatan 4,"Ytterby,          Kungälvs kommun",21 januari 2021,70,70+12,3,478 ,3 600 000 
569,Glose 650,"Bohuslän,          Kungälvs kommun",19 januari 2021,75,NaN,Nan,3 702 ,2 950 000 
570,Bärtas väg 10,"Ödsmålsmosse,          Kungälvs kommun",18 januari 2021,30,NaN,2,1 525 ,1 600 000 
571,Kantorvägen 3,"Bohuslän,          Kungälvs kommun",13 januari 2021,165,165+14,5,761 ,4 625 000 
572,Holm 160,"Kärna,          Kungälvs kommun",12 januari 2021,143,143+108,5,3 125 ,4 525 000 
573,Högsberg 355,"Kode,          Kungälvs kommun",11 januari 2021,98,NaN,4,1 797 ,3 825 000 
574,Skårby station 215,"Kareby,          Kungälvs kommun",7 januari 2021,95,95+88,5,1 498 ,3 700 000 
575,Signehög 240,"Signehög,          Kungälvs kommun",23 december 2020,121,121+77,3,Nan,2 500 000 
576,Munkegärdegatan 253,"Kungälv Munkegärde,          Kungälvs kommun",21 december 2020,134,134+110,8,899 ,6 060 000 
577,Klintegatan 21,"Kungälv,          Kungälvs kommun",18 december 2020,90,NaN,3,672 ,3 800 000 
578,Prästvägen 788,"Bohuslän,          Kungälvs kommun",16 december 2020,175,NaN,8,1 456 ,6 150 000 
579,Almvägen 19,"Bohuslän,          Kungälvs kommun",12 december 2020,162,NaN,4,801 ,5 325 000 
580,Oxelvägen 80,"Diseröd,          Kungälvs kommun",9 december 2020,139,139+20,7,751 ,5 475 000 
581,Byvägen 42,"Kode,          Kungälvs kommun",8 december 2020,54,NaN,Nan,1 521 ,1 750 000 
582,Källeröd 193,"Kareby,          Kungälvs kommun",4 december 2020,126,NaN,6,1 163 ,4 495 000 
583,Ulvesund 415,"Ytterby,          Kungälvs kommun",2 december 2020,48,NaN,3,791 ,2 060 000 
584,Bollestad 130,"Kareby,          Kungälvs kommun",2 december 2020,145,145+55,6,1 554 ,3 975 000 
585,Klockarvägen 6,"Bohuslän,          Kungälvs kommun",1 december 2020,137,NaN,5,561 ,4 450 000 
586,Västerhöjdsvägen 36,"Kärna,          Kungälvs kommun",1 december 2020,107,NaN,4,258 ,4 425 000 
587,Sjöstigen 7,"Kungälv,          Kungälvs kommun",30 november 2020,115,NaN,5,289 ,3 400 000 
588,Alekärr 125,"Romelanda,          Kungälvs kommun",30 november 2020,120,NaN,4,1 950 ,5 600 000 
589,Rörmossevägen 170,"Kungälv,          Kungälvs kommun",30 november 2020,214,NaN,8,2 864 ,4 950 000 
590,Kroken 210,"Bohuslän,          Kungälvs kommun",29 november 2020,139,139+39,6,1 447 ,5 500 000 
591,Mellan-Restad 355,"Bohuslän,          Kungälvs kommun",28 november 2020,70,70+15,4,851 ,4 160 000 
592,Lönnvägen 1,"Ytterby,          Kungälvs kommun",24 november 2020,137,NaN,6,630 ,4 800 000 
593,Hammarberg 900,"Kode,          Kungälvs kommun",24 november 2020,75,NaN,4,1 106 ,2 575 000 
594,Brunnefjällsvägen 27,"Vedhall,          Kungälvs kommun",23 november 2020,60,NaN,4,1 571 ,2 300 000 
595,Onyxvägen 5,"Kode,          Kungälvs kommun",22 november 2020,155,NaN,5,532 ,5 100 000 
596,Olgas väg 1C,"Timmervik,          Kungälvs kommun",20 november 2020,140,NaN,5,1 342 ,5 525 000 
597,Ametistvägen 1,"Kode,          Kungälvs kommun",19 november 2020,98,98+92,5,936 ,4 135 000 
598,Ställets bygata 98,"Ytterby - Stället,          Kungälvs kommun",18 november 2020,163,NaN,6,632 ,5 850 000 
599,Barlinds väg 23,"Marstrand - Instön,          Kungälvs kommun",13 november 2020,114,114+5,5,1 340 ,7 000 000 
600,Slottsgatan 11,"Marstrand - Koön,          Kungälvs kommun",11 november 2020,142,NaN,5,448 ,14 000 000 
601,Duvesjön 359,"Diseröd,          Kungälvs kommun",10 november 2020,117,117+40,4,1 091 ,4 170 000 
602,Dalvägen 17,"Ödsmålsmosse,          Kungälvs kommun",9 november 2020,45,45+40,4,1 036 ,2 800 000 
603,Bergkristallvägen 25,"Kode,          Kungälvs kommun",4 november 2020,127,NaN,5,531 ,4 700 000 
604,Guddeby 172,"Ytterby,          Kungälvs kommun",4 november 2020,143,NaN,6,1 090 ,5 275 000 
605,Kornhall 210,"Kornhall,          Kungälvs kommun",29 oktober 2020,110,110+22,5,570 ,4 060 000 
606,Olserödsgatan 32,"Olseröd,          Kungälvs kommun",26 oktober 2020,118,NaN,6,274 ,3 905 000 
607,Nolhagsvägen 22,"Aröd,          Kungälvs kommun",26 oktober 2020,102,102+71,5,3 489 ,5 000 000 
608,Solberga 510,"Solberga,          Kungälvs kommun",23 oktober 2020,98,98+58,4,1 517 ,4 195 000 
609,Grindbacken 17,"Grinden,          Kungälvs kommun",23 oktober 2020,191,191+20,6,958 ,8 600 000 
610,Skårby station 453,"Kareby,          Kungälvs kommun",22 oktober 2020,129,NaN,5,950 ,3 995 000 
611,Nämndemansvägen 25,"Ytterby,          Kungälvs kommun",19 oktober 2020,136,136+25,4,560 ,4 850 000 
612,Harkeröd 380,"Hålta,          Kungälvs kommun",16 oktober 2020,121,NaN,4,1 375 ,2 995 000 
613,Briljantvägen 23,"Kode,          Kungälvs kommun",15 oktober 2020,149,NaN,6,445 ,4 150 000 
614,Överås 110,"Ytterby,          Kungälvs kommun",13 oktober 2020,168,168+57,6,26 600 ,6 545 000 
615,Glose 660,"Kärna,          Kungälvs kommun",13 oktober 2020,81,NaN,3,1 703 ,2 900 000 
616,Klockarvägen 4,"Diseröd,          Kungälvs kommun",10 oktober 2020,154,NaN,6,561 ,3 800 000 
617,Hagtornsvägen 7,"Diseröd,          Kungälvs kommun",9 oktober 2020,112,112+112,6,825 ,4 500 000 
618,Stenåldersgatan 52,"Stället,          Kungälvs kommun",8 oktober 2020,117,NaN,4,345 ,4 800 000 
619,Diamantvägen 36,"Kungälv - Kode,          Kungälvs kommun",7 oktober 2020,123,NaN,5,510 ,3 775 000 
620,Hammar 350,"Kornhall,          Kungälvs kommun",7 oktober 2020,148,NaN,6,1 143 ,4 500 000 
621,Munkegärdegatan 21,"Munkegärde,          Kungälvs kommun",1 oktober 2020,118,NaN,4,179 ,4 300 000 
622,Häljeröd 130,"Bohuslän,          Kungälvs kommun",30 september 2020,128,NaN,4,1 267 ,3 930 000 
623,Solbräcke 212,"Solbräcke,          Kungälvs kommun",29 september 2020,144,NaN,6,976 ,4 995 000 
624,Korpvägen 265,"Ullstorp,          Kungälvs kommun",28 september 2020,133,133+18,6,401 ,5 950 000 
625,Vallhjonsgatan 8,"Marstrand - Koön,          Kungälvs kommun",28 september 2020,162,NaN,6,748 ,8 500 000 
626,Hallbjörtorp 370,"Kärna,          Kungälvs kommun",26 september 2020,30,30+30,2,1 535 ,2 900 000 
627,Rådmansgatan 4,"Kungälv - Centrum,          Kungälvs kommun",26 september 2020,221,221+10,6,678 ,6 400 000 
628,Knaverstad-Ryr 590,"Aröd,          Kungälvs kommun",25 september 2020,80,NaN,3,1 007 ,3 100 000 
629,Häljeröd 390,"Diseröd,          Kungälvs kommun",24 september 2020,115,115+37,5,3 700 ,4 500 000 
630,Grenvägen 9,"Tjuvkil,          Kungälvs kommun",24 september 2020,56,56+2,3,1 215 ,2 530 000 
631,Solskiftegatan 29,"Ytterby,          Kungälvs kommun",24 september 2020,192,192+56,7,932 ,5 700 000 
632,Hermelingatan 11,"Kungälv - Olseröd,          Kungälvs kommun",23 september 2020,126,126+25,5,548 ,5 600 000 
633,Ställets bygata 160,"Ytterby - Stället,          Kungälvs kommun",22 september 2020,165,NaN,7,823 ,5 900 000 
634,Västerhöjdsvägen 30,"Kärna,          Kungälvs kommun",21 september 2020,104,NaN,5,250 ,3 760 000 
635,Havregången 11,"Centrum,          Kungälvs kommun",21 september 2020,150,150+42,4,588 ,4 400 000 
636,Nereby 340,"Harestad,          Kungälvs kommun",20 september 2020,129,NaN,5,1 344 ,2 700 000 
637,Länsmansvägen 5,"Ytterby,          Kungälvs kommun",18 september 2020,108,108+136,5,573 ,4 600 000 
638,Duvesjön 302,"Duvesjön,          Kungälvs kommun",17 september 2020,120,120+74,4,1 506 ,5 615 000 
639,Skårby station 455,"Bohuslän,          Kungälvs kommun",16 september 2020,,NaN,Nan,800 ,3 995 000 
640,Klövergången 6,"Centralt,          Kungälvs kommun",16 september 2020,120,NaN,5,402 ,3 440 000 
641,Västerhöjdsvägen 40,"Kärna,          Kungälvs kommun",15 september 2020,107,107+8,4,274 ,4 100 000 
642,Dösebacka 450,"Diseröd,          Kungälvs kommun",13 september 2020,104,104+40,5,4 320 ,3 520 000 
643,Duvesjön 362,"Diseröd,          Kungälvs kommun",11 september 2020,120,NaN,4,1 024 ,4 220 000 
644,Fjärdingsgatan 9,"Ytterby,          Kungälvs kommun",11 september 2020,120,120+68,5,1 680 ,4 650 000 
645,Havregången 9,"Kungälv,          Kungälvs kommun",10 september 2020,181,NaN,7,402 ,4 415 000 
646,Stinneröd 160,"Romelanda,          Kungälvs kommun",10 september 2020,96,NaN,5,1 815 ,3 525 000 
647,Löstorp 180,"Kareby,          Kungälvs kommun",9 september 2020,48,48+20,Nan,84 425 ,5 500 000 
648,Trankärr 210,"Centralt,          Kungälvs kommun",9 september 2020,209,209+47,8,2 855 ,6 700 000 
649,Trankärr 230,"Centralt,          Kungälvs kommun",9 september 2020,152,152+34,6,2 056 ,4 795 000 
650,Stora Ryr 110,"Lycke,          Kungälvs kommun",8 september 2020,116,116+76,7,1 434 ,3 795 000 
651,Kungälvsvägen 64,"Centralt,          Kungälvs kommun",8 september 2020,137,137+58,5,853 ,5 350 000 
652,Bremnäs 190,"Lycke,          Kungälvs kommun",5 september 2020,120,120+91,Nan,1 559 ,2 700 000 
653,Prejelvägen 117,"Ullstorp,          Kungälvs kommun",5 september 2020,122,122+15,5,596 ,5 560 000 
654,Lievägen 234,"Kungälv,          Kungälvs kommun",4 september 2020,106,NaN,4,319 ,4 850 000 
655,Situlagatan 4,"Stället,          Kungälvs kommun",3 september 2020,138,NaN,5,636 ,6 040 000 
656,Djupuddsvägen 2,"Marstrand - Instön,          Kungälvs kommun",3 september 2020,135,NaN,5,1 268 ,5 100 000 
657,Hallbjörtorp 410,"Kärna,          Kungälvs kommun",3 september 2020,172,NaN,6,1 884 ,5 050 000 
658,Tvetgatan 223,"Tveten,          Kungälvs kommun",1 september 2020,130,NaN,5,138 ,3 375 000 
659,Grönviksvägen 22,"Kärna / Sundhammar,          Kungälvs kommun",30 augusti 2020,130,130+70,4,1 741 ,6 800 000 
660,Kungälvsvägen 37,"Grinden,          Kungälvs kommun",28 augusti 2020,89,NaN,4,227 ,3 981 000 
661,Marielundsvägen 11,"Koön,          Kungälvs kommun",27 augusti 2020,166,NaN,6,1 074 ,6 145 000 
662,Harkvägen 347,"Ullstorp,          Kungälvs kommun",27 augusti 2020,126,NaN,4,Nan,4 500 000 
663,Romelandavägen 110,"Centralt,          Kungälvs kommun",23 augusti 2020,125,125+37,4,701 ,3 700 000 
664,Kareby kyrkväg 258,"Kareby,          Kungälvs kommun",21 augusti 2020,106,NaN,4,617 ,3 300 000 
665,Gråstensvägen 14,"Kode,          Kungälvs kommun",21 augusti 2020,94,94+96,5,1 424 ,3 550 000 
666,Klövergången 7,"Centralt,          Kungälvs kommun",21 augusti 2020,125,NaN,4,401 ,4 300 000 
667,Stora Risby 540,"Bohuslän,          Kungälvs kommun",20 augusti 2020,47,NaN,3,902 ,2 725 000 
668,Rävo 120,"Hålta,          Kungälvs kommun",20 augusti 2020,96,96+64,5,1 819 ,2 300 000 
669,Rådmansgatan 21,"Kungälv - Centrum,          Kungälvs kommun",17 augusti 2020,120,120+74,5,964 ,6 530 000 
670,Ametistvägen 12,"Kode,          Kungälvs kommun",13 augusti 2020,107,NaN,5,918 ,4 250 000 
671,Lingonvägen 11,"Centralt,          Kungälvs kommun",13 augusti 2020,123,123+24,4,742 ,5 700 000 
672,Munkegärdegatan 313,"Munkegärde,          Kungälvs kommun",12 augusti 2020,135,135+20,5,309 ,4 800 000 
673,Norrmannebo 440,"Romelanda,          Kungälvs kommun",12 augusti 2020,81,81+79,5,2 036 ,3 550 000 
674,Rostock 170,"Romelanda,          Kungälvs kommun",12 augusti 2020,84,84+88,4,1 544 ,3 500 000 
675,Hallbjörtorp 350,"Kärna,          Kungälvs kommun",10 augusti 2020,130,130+40,7,80 081 ,5 100 000 
676,Harkvägen 337,"Ullstorp,          Kungälvs kommun",10 augusti 2020,131,NaN,5,Nan,5 410 000 
677,Mjölnarvägen 3,"Diseröd,          Kungälvs kommun",5 augusti 2020,137,NaN,5,534 ,3 830 000 
678,Bredsten 300,"Bredsten,          Kungälvs kommun",4 augusti 2020,119,NaN,Nan,1 889 ,4 100 000 
679,Stinneröd 130,"Romelanda,          Kungälvs kommun",4 augusti 2020,187,NaN,6,1 468 ,4 150 000 
680,Spaghamnsvägen 10,"Tjuvkil nära Marstrand,          Kungälvs kommun",3 augusti 2020,165,165+20,5,1 280 ,12 500 000 
681,Storskiftegatan 13,"Tega,          Kungälvs kommun",31 juli 2020,130,NaN,5,145 ,3 800 000 
682,Hålta Annex 110,"Hålta,          Kungälvs kommun",30 juli 2020,217,217+8,8,42 350 ,7 250 000 
683,Lid 170,"Diseröd,          Kungälvs kommun",28 juli 2020,86,86+51,4,6 235 ,2 460 000 
684,Knaverstad-Ryr 450,"Kode,          Kungälvs kommun",27 juli 2020,78,NaN,3,885 ,3 500 000 
685,Bergsgatan 10,"Marstrand Koön,          Kungälvs kommun",25 juli 2020,175,175+100,6,896 ,6 900 000 
686,Bråta 140,"Romelanda,          Kungälvs kommun",24 juli 2020,35,35+5,3,2 165 ,1 475 000 
687,Grokareby 210,"Kareby,          Kungälvs kommun",23 juli 2020,70,NaN,4,4 713 ,1 250 000 
688,Hallebäcksvägen 13,"Timmervik,          Kungälvs kommun",22 juli 2020,113,113+50,5,3 636 ,4 875 000 
689,Gamla Kungälvsvägen 9B,"Kungälv - Centralt,          Kungälvs kommun",21 juli 2020,194,NaN,6,1 061 ,7 300 000 
690,Diamantvägen 52,"Kode,          Kungälvs kommun",21 juli 2020,156,NaN,5,557 ,4 750 000 
691,Ametistvägen 4,"Kode,          Kungälvs kommun",21 juli 2020,98,98+95,5,866 ,4 400 000 
692,Bollestad 310,"Bollestad,          Kungälvs kommun",14 juli 2020,140,NaN,6,6 876 ,4 150 000 
693,Holm 310,"Kungälv - Kärna,          Kungälvs kommun",10 juli 2020,66,66+36,3,2 077 ,2 970 000 
694,Skårshöjd 9,"Kärna,          Kungälvs kommun",10 juli 2020,112,NaN,4,988 ,4 500 000 
695,Bärtas väg 8,"Kode,          Kungälvs kommun",9 juli 2020,57,NaN,3,1 503 ,3 100 000 
696,Myrebackavägen 305,"Kareby,          Kungälvs kommun",9 juli 2020,166,NaN,6,1 504 ,4 630 000 
697,Gråstensvägen 16,"Kode,          Kungälvs kommun",3 juli 2020,97,NaN,4,1 381 ,3 650 000 
698,Knaverstad-Ryr 580,"Aröd,          Kungälvs kommun",2 juli 2020,158,158+4,6,1 012 ,3 650 000 
699,Pölen 120,"Kungälv - Hålta,          Kungälvs kommun",1 juli 2020,138,138+75,5,812 ,4 800 000 
700,Lerskärsvägen 18,"Kungälv - Tjuvkil,          Kungälvs kommun",30 juni 2020,65,65+65,5,1 216 ,3 400 000 
701,Bremnäs 510,"Lycke,          Kungälvs kommun",30 juni 2020,85,85+45,4,2 915 ,2 350 000 
702,Nedre Rådalsvägen 18,"Aröd/timmervik,          Kungälvs kommun",29 juni 2020,90,NaN,5,3 074 ,3 100 000 
703,Hövdingagatan 3,"Komarken,          Kungälvs kommun",29 juni 2020,162,162+49,5,626 ,5 300 000 
704,Enekullsvägen 24,"Ytterby,          Kungälvs kommun",28 juni 2020,200,200+24,7,980 ,5 500 000 
705,Bärnstensvägen 9,"Kode,          Kungälvs kommun",26 juni 2020,100,100+95,5,1 547 ,4 000 000 
706,Skårsäng 115,"Kärna,          Kungälvs kommun",25 juni 2020,114,114+13,5,616 ,4 400 000 
